,State,Honey producing colonies,Yield per colony,Production,Stockes December 15,Average price per pound,Value of production,Year,Stocks December 15
14,Louisiana,32.0,45.0,1440.0,,3.9,5616.0,2023,101.0
15,Maine,12.0,18.0,216.0,,4.46,963.0,2023,41.0
16,Michigan,70.0,55.0,3850.0,,2.84,10934.0,2023,924.0
17,Minnesota,106.0,58.0,6148.0,,1.99,12235.0,2023,861.0
18,Mississippi,19.0,42.0,798.0,,3.02,2410.0,2023,367.0
19,Missouri,9.0,43.0,387.0,,4.81,1861.0,2023,101.0
20,,,,,,,,2023,
21,Montana,114.0,85.0,9690.0,,2.0,19380.0,2023,3392.0
22,Nebraska,33.0,48.0,1584.0,,2.26,3580.0,2023,554.0
23,New Jersey,15.0,36.0,540.0,,7.16,3866.0,2023,54.0
24,New York,41.0,58.0,2378.0,,4.59,10915.0,2023,761.0
25,North Carolina,11.0,44.0,484.0,,6.02,2914.0,2023,179.0
26,North Dakota,511.0,75.0,38325.0,,1.77,67835.0,2023,9198.0
27,Ohio,20.0,65.0,1300.0,,5.23,6799.0,2023,546.0
28,Oregon,90.0,37.0,3330.0,,2.71,9024.0,2023,1099.0
29,Pennsylvania,20.0,55.0,1100.0,,4.96,5456.0,2023,638.0
30,South Carolina,11.0,52.0,572.0,,4.53,2591.0,2023,114.0
31,,,,,,,,2023,
32,South Dakota,212.0,87.0,18444.0,,2.02,37257.0,2023,12542.0
33,Tennessee,12.0,40.0,480.0,,6.0,2880.0,2023,77.0
34,Texas,111.0,35.0,3885.0,,3.01,11694.0,2023,505.0
35,Utah,24.0,42.0,1008.0,,1.92,1935.0,2023,202.0
36,Vermont,6.0,49.0,294.0,,5.09,1496.0,2023,76.0
37,Virginia,5.0,39.0,195.0,,8.58,1673.0,2023,82.0
38,Washington,83.0,27.0,2241.0,,2.71,6073.0,2023,740.0
39,West Virginia,6.0,51.0,306.0,,6.35,1943.0,2023,177.0
40,Wisconsin,62.0,45.0,2790.0,,3.02,8426.0,2023,1004.0
41,Wyoming,27.0,78.0,2106.0,,1.64,3454.0,2023,400.0
42,,,,,,,,2023,
43,Other States 5/ 6/,46.0,66.0,3038.0,,4.68,14218.0,2023,516.0
44,,,,,,,,2023,
45,United States 6/ 7/,2509.0,55.2,138571.0,,2.52,349199.0,2023,44016.0
