State,Honey producing colonies,Production,Value of production
Arizona,23,1035,2784
Arkansas,20,1120,3002
California,305,11590,30829
Colorado,31,1302,4245
Florida,210,7350,23888
Georgia,103,3296,10119
Idaho,94,2726,7251
Illinois,10,470,2909
,,,
Indiana,9,567,2897
Iowa,48,2448,6879
Kansas,6,372,1358
Kentucky,7,252,1436
Louisiana,42,2562,6328
Maine,10,230,1493
Michigan,82,3362,10220
Minnesota,102,5202,14514
Mississippi,21,1995,6244
Missouri,8,328,1683
,,,
Montana,123,7503,19808
Nebraska,34,1496,4219
New Jersey,16,624,2496
New York,54,2862,10332
North Carolina,13,507,3443
North Dakota,520,31200,82056
Ohio,19,1254,4364
Oregon,92,3404,10723
Pennsylvania,23,1058,6147
South Carolina,13,507,2930
,,,
South Dakota,185,7215,18615
Tennessee,9,423,2424
Texas,157,8321,27376
Utah,26,1196,3588
Vermont,6,282,1985
Virginia,7,266,2067
Washington,86,2752,8559
West Virginia,7,273,1433
Wisconsin,53,2915,8862
Wyoming,30,1350,3564
,,,
Other States 5/ 6/,53,3316,12170
,,,
United States 6/ 7/,2667,125331,370980
