State,Honey producing colonies,Production,Value of production
Alabama,7,273,1482
Arizona,25,900,1962
Arkansas,20,980,1764
California,320,13760,24493
Colorado,30,1230,2571
Florida,192,8832,20137
Georgia,101,3434,8104
Hawaii,15,1575,2536
Idaho,107,3745,6554
Illinois,10,520,2891
,,,
Indiana,9,495,2049
Iowa,35,2030,5258
Kansas,8,496,1453
Kentucky,7,231,1444
Louisiana,33,2277,5510
Maine,10,300,978
Michigan,95,4465,12056
Minnesota,108,5940,10395
Mississippi,25,1825,3541
Missouri,9,369,1221
,,,
Montana,110,8910,13989
Nebraska,37,1924,3290
New Jersey,14,434,3468
New York,58,3248,11011
North Carolina,12,456,2339
North Dakota,495,38610,61776
Ohio,16,1200,4620
Oregon,95,2755,6805
Pennsylvania,19,912,4323
South Carolina,16,736,2414
,,,
South Dakota,245,14945,23912
Tennessee,7,357,1567
Texas,157,8949,17003
Utah,28,952,1971
Vermont,6,282,1060
Virginia,5,200,1088
Washington,98,3626,9210
West Virginia,6,276,1074
Wisconsin,45,2250,7335
Wyoming,38,1520,2523
,,,
Other States 5/ 6/,33,1375,5995
,,,
United States 6/ 7/,2706,147594,299616
