State,Honey producing colonies,Production,Value of production
Alabama,8,320,1917
Arizona,26,1040,2434
Arkansas,17,850,1760
California,290,9570,22968
Colorado,29,1160,3225
Florida,193,8492,20551
Georgia,96,3264,8911
Hawaii,15,1395,3083
Idaho,100,3000,7110
Illinois,10,460,2682
,,,
Indiana,10,520,2023
Iowa,38,2090,5141
Kansas,7,294,806
Kentucky,7,259,1191
Louisiana,37,2146,5365
Maine,11,374,1189
Michigan,101,5151,15298
Minnesota,125,7125,16530
Mississippi,25,1775,4917
Missouri,8,280,1117
,,,
Montana,117,6669,14472
Nebraska,39,1833,3978
New Jersey,15,525,1717
New York,57,3021,12537
North Carolina,13,507,3468
North Dakota,515,28325,62032
Ohio,16,1024,3789
Oregon,86,2666,5705
Pennsylvania,20,840,2856
South Carolina,16,672,3575
,,,
South Dakota,250,12250,27808
Tennessee,8,448,2240
Texas,137,7672,17646
Utah,31,1023,2230
Vermont,7,329,1079
Virginia,6,240,1975
Washington,96,3072,7741
West Virginia,6,258,1238
Wisconsin,42,1974,5547
Wyoming,38,2204,4562
,,,
Other States 5/ 6/,28,1349,6610
,,,
United States 6/ 7/,2696,126466,321224
